
RA

𒊏

|RA.RA|

𒊏𒊏

RAB

𒊐

|RAB.GAL|

𒊐𒃲

|RAB.GAN|

𒊐𒃶

|RAB.HI×BAD|

𒊐𒄰

|RAB.MAH|

𒊐𒈤

|RAB.TUR.TUR|

𒊐𒌉𒌉

REC107

REC145

𒆮

REC344

REC558

RI

𒊑

RSP280

󰁱

RU

𒊒

|RU.NE|

𒊒𒉈

|RU×KUR|

