
ŠA

𒊭

|ŠA.PI|

𒊭𒉿

|ŠA×AN|

ŠA₃

𒊮

|ŠA₃.A|

𒊮𒀀

|ŠA₃.DIŠ|

𒊮𒁹

|ŠA₃.GI|

𒊮𒄀

|ŠA₃.GIŠ.SAR|

𒊮𒄑𒊬

|ŠA₃.LAGAB|

𒊮𒆸

|ŠA₃.MIN.DI|

𒊮𒈫𒁲

|ŠA₃.MIN.KASKAL|

𒊮𒈫𒆜

|ŠA₃.MIN.TAR|

𒊮𒈫𒋻

|ŠA₃.SAR|

𒊮𒊬

|ŠA₃.TAR|

𒊮𒋻

|ŠA₃.U.U|

𒊮𒎙

|ŠA₃×A|

𒊯

|ŠA₃×BAD|

𒊰

|ŠA₃×GIŠ|

𒊱

|ŠA₃×NE|

𒊲

|ŠA₃×SAL|

|ŠA₃×ŠU₂|

𒊳

|ŠA₃×TAR|

|ŠA₃×TUR|

𒊴

|ŠA₃×U|

𒊵

|ŠA₃×(U.A)|

𒊶

|ŠA₃×X|

ŠA₆

𒊷

|ŠA₆.TUR|

𒊷𒌉

ŠA₆@t

𒔱

ŠAB₆

𒊸

ŠANABI

𒑛

ŠAR₂

𒊹

|ŠAR₂×GAD|

|ŠAR₂×GAL|

|ŠAR₂×(GAL.DIŠ)|

𒐲

|ŠAR₂×(GAL.MIN)|

𒐳

|ŠAR₂×HA|

|ŠAR₂×KASKAL|

󰁄

|ŠAR₂×U|

𒄶

|ŠAR₂×(U.U)|

󰀽

|ŠAR₂×(U.U.U)|

󰀾

|ŠAR₂×U@g|

|ŠAR₂×4(U)|

󰀿

|ŠAR₂×5(U)|

󰁀

ŠE

𒊺

|ŠE.AB₂.GUD|

𒊺𒀖𒄞

|ŠE.AB₂.TAB|

𒊺𒀖𒋰

|ŠE.BU.EŠ₂.NUN|

𒊺𒁍𒂠𒉣

|ŠE.BU.NUN.EŠ₂|

𒊺𒁍𒉣𒂠

|ŠE.BU.NUN.IDIM|

𒊺𒁍𒉣𒅂

|ŠE.BULUG|

𒊺𒁑

|ŠE.DIM|

𒊺𒁴

|ŠE.DIŠ&DIŠ.NUN&NUN|

𒊺X𒉪

|ŠE.EŠ₂.PI.GAR|

𒊺𒂠𒉿𒃻

|ŠE.GAN₂|

𒊺𒃷

|ŠE.HU|

𒊻

|ŠE.HU.TUR|

𒊻𒌉

|ŠE.IGI.TUR|

𒊺𒅆𒌉

|ŠE.KAK|

𒊺𒆕

|ŠE.KAK.A|

𒊺𒆕𒀀

|ŠE.KAL|

𒊺𒆗

|ŠE.KIN|

𒊺𒆥

|ŠE.KIN.KIN|

𒊺𒆥𒆥

|ŠE.LUGAL|

𒊺𒈗

|ŠE.NAGA|

𒊺𒉀

|ŠE.NAGA@180|

𒊺𒉁

|ŠE.NAM₂|

𒊺𒉇

|ŠE.NUN.LAGAB&ŠE.NUN.LAGAB|

𒊺𒉣X𒉣𒆸

|ŠE.NUN&NUN|

𒌁

|(ŠE.NUN&NUN)×TAK₄|

𒌂

|(ŠE.NUN&NUN)&(ŠE.NUN&NUN)|

𒌃
