
HA

𒄩

|HA.A|

𒄩𒀀

|HA.A.UR₂|

𒄩𒀀𒌫

|HA.LU.EŠ₂|

𒄩𒇻𒂠

|HA.NAGAR.BU|

𒄩𒉄𒁍

|HA.ZAG|

𒄩𒍠

HA@g

𒄫

|HA@g×(BAD.X)|

HA@t

𒄪

|HA@t×TIL|

HA@t@g

𒓎

HAL

𒄬

HI

𒄭

|HI.A|

𒄭𒀀

|HI.GIR₃|

𒍽

|HI.KISIM₅×SA|

𒄭X

|HI.SUHUR|

𒄭𒋦

|HI×AŠ|

𒄮

|(HI×AŠ)&(HI×AŠ)|

𒓏

|HI×AŠ₂|

𒄯

|HI×AŠ₂.DU|

𒄯𒁺

|HI×AŠ₂.HI×AŠ₂|

𒄯𒄯

|HI×AŠ₂.KA×GAR|

𒄯𒅥

|HI×AŠ₂.SAG|

𒄯𒊕

|HI×BAD|

𒄰

|HI×BAD×U|

|HI×DIŠ|

𒄱

|HI×GAD|

𒄲

|HI×HAL|

|HI×HI|

|HI×KIN|

𒄳

|HI×KUŠU₂|

|HI×MAŠ|

󰁦

|HI×NUN|

𒄴

|HI×NUN.HI×NUN|

𒄴𒄴

|(HI×NUN.HI×NUN)&(HI×NUN.HI×NUN)|

|HI×NUN.KASKAL|

𒄴𒆜

|HI×NUN.ME|

𒄴𒈨

|HI×PA|

|HI×PAP|

|HI×SAR|

|HI×ŠE|

𒄵

|HI×U|

|HI×X|

|HI×ZI₃|

|(HI&HI).SUHUR|

X𒋦

HI@g

|HI@g×BAD|

󰁧

|HI@g×GAD|

󰁨

HU

𒄷

|HU.HI|

𒄷𒄭

|HU.KAK|

𒄷𒆕

|HU.MI.AN.IM|

𒄷𒈪𒀭𒅎

|HU.NA₂|

𒄷𒈿

|HU.SI|

𒄷𒋛

HU@n

HUB₂

𒄸

|HUB₂.DU|

𒄸𒁺

|HUB₂×AN|

𒄹

|HUB₂×HAL|

𒄺

|HUB₂×KASKAL|

𒄻

|HUB₂×LIŠ|

𒄼

|HUB₂×UD|

𒄽

HUL₂

𒄾

|HUL₂×X|

